reporterUserId,rumourId,reportDate,reportType
U001,12345678,2026-02-04,FAKE
U002,12345678,2026-02-04,INCITEMENT
U003,12345678,2026-02-04,DISTORTION
U004,12345678,2026-02-04,FAKE

U005,23456789,2026-02-04,DISTORTION
U006,23456789,2026-02-04,FAKE
U007,23456789,2026-02-04,INCITEMENT
U008,23456789,2026-02-04,FAKE

U001,45678912,2026-02-04,INCITEMENT
U005,45678912,2026-02-04,FAKE
U006,45678912,2026-02-04,DISTORTION
U007,45678912,2026-02-04,FAKE

U002,34567891,2026-02-04,DISTORTION
U003,34567891,2026-02-04,FAKE

U004,56789123,2026-02-05,DISTORTION
U008,67891234,2026-02-05,INCITEMENT
U006,78912345,2026-02-06,FAKE
U007,89123456,2026-02-06,INCITEMENT
